id,name,model_id,group_id,perm_read,perm_write,perm_create,perm_unlink
"access_res_user_group_user","res_user group_user","base.model_res_user","group_user",1,0,0,0
"access_res_partner_group_user","res_partner group_user","base.model_res_partner","group_user",1,1,1,1
"access_partner_category_group_user","partner_category group_user","base.model_res_partner_category","group_user",1,1,1,1
"access_product_group_user","product group_user","product.model_product_product","group_user",1,1,1,1
"access_product_category_group_user","product_category group_user","product.model_product_category","group_user",1,1,1,1
"access_res_group_group_user","res_group group_user","base.model_res_group","group_user",1,0,0,0
"access_stock_picking_group_user","stock_picking group_user","stock.model_stock_picking","group_user",1,1,1,1
"access_account_payment_group_user","account_payment group_user","account.model_account_payment","group_user",1,1,1,1
"access_appointment_group_user","appointment group_user","sale.model_appointment","group_user",1,1,1,1
"access_company_group_user","company group_user","base.model_res_company","group_user",1,0,0,0
"access_dot_kham_group_user","dot_kham group_user","sale.model_dot_kham","group_user",1,0,0,0
"access_toa_thuoc_group_user","toa_thuoc group_user","sale.model_toa_thuoc","group_user",1,0,0,0
"access_labo_order_group_user","labo_order group_user","labo.model_labo_order","group_user",1,0,0,0
"access_employee_group_user","employee group_user","base.model_employee","group_user",1,1,1,1
"access_employee_category_group_user","employee_category group_user","base.model_employee_category","group_user",1,1,1,1
"access_history_group_user","history group_user","base.model_history","group_user",1,1,1,1
"access_res_user_group_manager","res_user group_manager","base.model_res_user","group_manager",1,0,0,0
"access_res_partner_group_manager","res_partner group_manager","base.model_res_partner","group_manager",1,0,0,0
"access_partner_category_group_manager","partner_category group_manager","base.model_res_partner_category","group_manager",1,0,0,0
"access_product_group_manager","product group_manager","product.model_product_product","group_manager",1,0,0,0
"access_product_category_group_manager","product_category group_manager","product.model_product_category","group_manager",1,0,0,0
"access_res_group_group_manager","res_group group_manager","base.model_res_group","group_manager",1,0,0,0
"access_stock_picking_group_manager","stock_picking group_manager","stock.model_stock_picking","group_manager",1,0,0,0
"access_account_payment_group_manager","account_payment group_manager","account.model_account_payment","group_manager",1,0,0,0
"access_appointment_group_manager","appointment group_manager","sale.model_appointment","group_manager",1,1,1,0
"access_company_group_manager","company group_manager","base.model_res_company","group_manager",1,0,0,0
"access_dot_kham_group_manager","dot_kham group_manager","sale.model_dot_kham","group_manager",1,1,1,1
"access_toa_thuoc_group_manager","toa_thuoc group_manager","sale.model_toa_thuoc","group_manager",1,1,1,1
"access_labo_order_group_manager","labo_order group_manager","labo.model_labo_order","group_manager",1,1,1,1
"access_employee_group_manager","employee group_manager","base.model_employee","group_manager",1,0,0,0
"access_employee_category_group_manager","employee_category group_manager","base.model_employee_category","group_manager",1,0,0,0
"access_history_group_manager","history group_manager","base.model_history","group_manager",1,1,1,1
"access_res_user_group_admin","res_user group_admin","base.model_res_user","group_admin",1,1,1,1
"access_res_partner_group_admin","res_partner group_admin","base.model_res_partner","group_admin",1,0,0,0
"access_partner_category_group_admin","partner_category group_admin","base.model_res_partner_category","group_admin",1,0,0,0
"access_product_group_admin","product group_admin","product.model_product_product","group_admin",1,0,0,0
"access_product_category_group_admin","product_category group_admin","product.model_product_category","group_admin",1,0,0,0
"access_res_group_group_admin","res_group group_admin","base.model_res_group","group_admin",1,1,1,1
"access_stock_picking_group_admin","stock_picking group_admin","stock.model_stock_picking","group_admin",1,0,0,0
"access_account_payment_group_admin","account_payment group_admin","account.model_account_payment","group_admin",1,0,0,0
"access_appointment_group_admin","appointment group_admin","sale.model_appointment","group_admin",1,0,0,0
"access_company_group_admin","company group_admin","base.model_res_company","group_admin",1,1,1,1
"access_dot_kham_group_admin","dot_kham group_admin","sale.model_dot_kham","group_admin",1,0,0,0
"access_toa_thuoc_group_admin","toa_thuoc group_admin","sale.model_toa_thuoc","group_admin",1,0,0,0
"access_labo_order_group_admin","labo_order group_admin","labo.model_labo_order","group_admin",1,0,0,0
"access_employee_group_admin","employee group_admin","base.model_employee","group_admin",1,1,1,1
"access_employee_category_group_admin","employee_category group_admin","base.model_employee_category","group_admin",1,1,1,1
"access_history_group_admin","history group_admin","base.model_history","group_admin",1,1,1,1

